0019T	musculoskeletal system
0051T	heart, artificial
0051T	heart, artificial
0191T	eye glaucoma
15777	acellular dermis
33207	heart
33207	intracardiac
33207	transvenous electrode
33207	ventricular
33216	electrode
33216	transvenous
33208	dual-chamber pacemaker
33211	dual chamber pacemaker
33216	cardioverter-defibrillator
33216	cardioverter-defibrillator
63655	laminectomy
33282	cardiac
33282	cardiac
33282	event recorder
33282	cardiac
33282	monitoring device
33282	monitoring device
33282	patient activated
33282	pt activated
33927	replacement
33880, 33881	endovascular graft
33886	distal endovascular extension
33927	artificial heart
36555, 36556	non-tunneled
36555, 36556	jugular
36555, 36556	subclavian
36555, 36556	central
36568, 36569	peripheral
36555, 36556	non-tunneled
36555, 36556	central
36555, 36556	jugular
36555, 36556	subclavian
36568, 36569	peripheral
36555, 36556	non-tunneled
36555, 36556	jugular
36555, 36556	subclavian
36555, 36556	central
36568, 36569	peripheral
36555, 36556	non-tunneled
36555, 36556	central
36555, 36556	jugular
36555, 36556	subclavian
36568, 36569	peripheral
36557, 36558	catheter
36557, 36558	jugular
36557, 36558	subclavian
36557, 36558	central
36561	jugular
36561	subclavian
36561	central
36557, 36558	central line
36557, 36558	central
36557, 36558	jugular
36557, 36558	subclavian
36561	central
36561	jugular
36561	subclavian
36557, 36558	catheter
36557, 36558	jugular
36557, 36558	subclavian
36557, 36558	central
36561	jugular
36561	subclavian
36561	central
36557, 36558	central line
36557, 36558	central
36557, 36558	jugular
36557, 36558	subclavian
36561	central
36561	jugular
36561	subclavian
36561	central venous access device
43246	gastrostomy tube
43246	percutaneous
63685	spinal cord stimulator
63685	battery
63685	pulse generator
63685	epidural
63685	epidural stimulator
63685	battery
63685	epidural stimulator
63685	spinal cord
63685	neurostimulator
64561	neurostimulator electrode
66984	cataract
66982	complex
66982	cataract
0051T	entire heart
0051T	heart
33361	percutaneous femoral artery approach
33362	open femoral artery approach
33363	open axillary artery approach
33364	open iliac artery approach
33365	transaortic approach
33361	percutaneous femoral artery approach
33362	open femoral artery approach
33363	open axillary artery approach
33364	open iliac artery approach
33365	transaortic approach
61107	puncture wound
64553	cranial nerves
64553	entire cranial nerve
64561	entire sacral nerve
64561	sacral nerve
64581	entire sacral nerve
64581	sacral nerve
64568, 64569	cranial nerves
64568, 64569	entire cranial nerve
0053T	heart, artificial
0052T, 0053T	intracorporeal
0052T	thoracic
11760	nail bed
11760	nail bed
12001, 12002, 12004, 12005, 12006, 12007, 12031, 12032, 12034, 12035, 12036, 12037	axillae
12001, 12002, 12004, 12005, 12006, 12007	external genitalia
12001, 12002, 12004, 12005, 12006, 12007, 12031, 12032, 12034, 12035, 12036, 12037	feet
12001, 12002, 12004, 12005, 12006, 12007	finger
